label,role,hand,trajectory_count,success_count,trajectory_micro_success_rate,object_macro_success_rate,category_macro_success_rate,mean_max_lift_m,mean_final_lift_m,source_summary
Linker 3 mm最终方法,selected,linker,1000,234,0.234,0.23399999999999999,0.23399999999999999,0.08689994824631139,0.05082119220402092,retarget_research/outputs/formal_1000/linker_object_centric_3mm_v1_evaluation/manifest_evaluation_summary.json
Linker渐进夹紧基线,historical_baseline,linker,1000,231,0.231,0.23099999999999998,0.23099999999999998,0.08625418537389487,0.04989584462344646,retarget_research/outputs/formal_1000/linker_o6_optimized_v2_evaluation/manifest_evaluation_summary.json
Wuji v1最终方法,selected,wuji,1000,638,0.638,0.638,0.638,0.22353422630624845,0.2045717851226218,retarget_research/outputs/formal_1000/wuji_v1_evaluation/manifest_evaluation_summary.json
XHand官方最终方法,selected,xhand,1000,574,0.574,0.574,0.574,0.20228723063040524,0.1792989000300877,retarget_research/outputs/formal_1000/xhand_official_evaluation/manifest_evaluation_summary.json
XHand指腹细化负消融,rejected_ablation,xhand,1000,541,0.541,0.5409999999999999,0.541,0.19068206196743995,0.1630912544503808,retarget_research/outputs/formal_1000/xhand_phase_contact_v2_evaluation/manifest_evaluation_summary.json
