label,role,hand,category,success_count,trajectory_count,success_rate
Linker渐进夹紧基线,historical_baseline,linker,snowman,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,soapbar,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,soapbottle,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,stapler,8,20,0.4
Linker渐进夹紧基线,historical_baseline,linker,tapedispenser,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,thumbtack,6,20,0.3
Linker渐进夹紧基线,historical_baseline,linker,tissuebox,8,20,0.4
Linker渐进夹紧基线,historical_baseline,linker,toaster,10,20,0.5
Linker渐进夹紧基线,historical_baseline,linker,toasteroven,9,20,0.45
Linker渐进夹紧基线,historical_baseline,linker,usbstick,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,vase,4,20,0.2
Linker渐进夹紧基线,historical_baseline,linker,videogamecontroller,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,wallclock,0,20,0.0
Linker渐进夹紧基线,historical_baseline,linker,watch,7,20,0.35
Linker渐进夹紧基线,historical_baseline,linker,wii,9,20,0.45
Linker渐进夹紧基线,historical_baseline,linker,winebottle,12,20,0.6
Wuji v1最终方法,selected,wuji,ball,4,20,0.2
Wuji v1最终方法,selected,wuji,battery,8,20,0.4
Wuji v1最终方法,selected,wuji,beanbag,7,20,0.35
Wuji v1最终方法,selected,wuji,blender,15,20,0.75
Wuji v1最终方法,selected,wuji,book,9,20,0.45
Wuji v1最终方法,selected,wuji,bowl,11,20,0.55
Wuji v1最终方法,selected,wuji,camera,13,20,0.65
Wuji v1最终方法,selected,wuji,can,14,20,0.7
Wuji v1最终方法,selected,wuji,canister,18,20,0.9
Wuji v1最终方法,selected,wuji,cap,4,20,0.2
Wuji v1最终方法,selected,wuji,cerealbox,17,20,0.85
Wuji v1最终方法,selected,wuji,clock,18,20,0.9
Wuji v1最终方法,selected,wuji,cookie,8,20,0.4
Wuji v1最终方法,selected,wuji,disccase,19,20,0.95
Wuji v1最终方法,selected,wuji,dog,15,20,0.75
Wuji v1最终方法,selected,wuji,filecabinet,16,20,0.8
Wuji v1最终方法,selected,wuji,flashlight,16,20,0.8
Wuji v1最终方法,selected,wuji,fruit,12,20,0.6
Wuji v1最终方法,selected,wuji,headphones,14,20,0.7
Wuji v1最终方法,selected,wuji,horse,12,20,0.6
Wuji v1最终方法,selected,wuji,ipad,12,20,0.6
Wuji v1最终方法,selected,wuji,knife,9,20,0.45
Wuji v1最终方法,selected,wuji,milkcarton,15,20,0.75
Wuji v1最终方法,selected,wuji,palette,13,20,0.65
Wuji v1最终方法,selected,wuji,pan,4,20,0.2
Wuji v1最终方法,selected,wuji,pencil,11,20,0.55
Wuji v1最终方法,selected,wuji,personstanding,10,20,0.5
Wuji v1最终方法,selected,wuji,phonebooth,17,20,0.85
Wuji v1最终方法,selected,wuji,piano,15,20,0.75
Wuji v1最终方法,selected,wuji,pillow,12,20,0.6
Wuji v1最终方法,selected,wuji,remote,16,20,0.8
Wuji v1最终方法,selected,wuji,rubikscube,9,20,0.45
Wuji v1最终方法,selected,wuji,ship,17,20,0.85
Wuji v1最终方法,selected,wuji,showerhead,10,20,0.5
Wuji v1最终方法,selected,wuji,snowman,12,20,0.6
Wuji v1最终方法,selected,wuji,soapbar,13,20,0.65
Wuji v1最终方法,selected,wuji,soapbottle,15,20,0.75
Wuji v1最终方法,selected,wuji,stapler,16,20,0.8
Wuji v1最终方法,selected,wuji,tapedispenser,17,20,0.85
Wuji v1最终方法,selected,wuji,thumbtack,16,20,0.8
Wuji v1最终方法,selected,wuji,tissuebox,14,20,0.7
Wuji v1最终方法,selected,wuji,toaster,16,20,0.8
Wuji v1最终方法,selected,wuji,toasteroven,14,20,0.7
Wuji v1最终方法,selected,wuji,usbstick,13,20,0.65
Wuji v1最终方法,selected,wuji,vase,11,20,0.55
Wuji v1最终方法,selected,wuji,videogamecontroller,5,20,0.25
Wuji v1最终方法,selected,wuji,wallclock,9,20,0.45
Wuji v1最终方法,selected,wuji,watch,14,20,0.7
Wuji v1最终方法,selected,wuji,wii,19,20,0.95
Wuji v1最终方法,selected,wuji,winebottle,14,20,0.7
XHand官方最终方法,selected,xhand,ball,3,20,0.15
XHand官方最终方法,selected,xhand,battery,8,20,0.4
XHand官方最终方法,selected,xhand,beanbag,7,20,0.35
XHand官方最终方法,selected,xhand,blender,13,20,0.65
XHand官方最终方法,selected,xhand,book,6,20,0.3
XHand官方最终方法,selected,xhand,bowl,8,20,0.4
XHand官方最终方法,selected,xhand,camera,14,20,0.7
XHand官方最终方法,selected,xhand,can,11,20,0.55
XHand官方最终方法,selected,xhand,canister,18,20,0.9
XHand官方最终方法,selected,xhand,cap,0,20,0.0
XHand官方最终方法,selected,xhand,cerealbox,18,20,0.9
XHand官方最终方法,selected,xhand,clock,15,20,0.75
XHand官方最终方法,selected,xhand,cookie,9,20,0.45
XHand官方最终方法,selected,xhand,disccase,19,20,0.95
XHand官方最终方法,selected,xhand,dog,15,20,0.75
XHand官方最终方法,selected,xhand,filecabinet,15,20,0.75
XHand官方最终方法,selected,xhand,flashlight,19,20,0.95
XHand官方最终方法,selected,xhand,fruit,12,20,0.6
XHand官方最终方法,selected,xhand,headphones,10,20,0.5
XHand官方最终方法,selected,xhand,horse,13,20,0.65
XHand官方最终方法,selected,xhand,ipad,12,20,0.6
XHand官方最终方法,selected,xhand,knife,4,20,0.2
XHand官方最终方法,selected,xhand,milkcarton,14,20,0.7
XHand官方最终方法,selected,xhand,palette,8,20,0.4
XHand官方最终方法,selected,xhand,pan,3,20,0.15
XHand官方最终方法,selected,xhand,pencil,11,20,0.55
XHand官方最终方法,selected,xhand,personstanding,7,20,0.35
XHand官方最终方法,selected,xhand,phonebooth,17,20,0.85
XHand官方最终方法,selected,xhand,piano,15,20,0.75
XHand官方最终方法,selected,xhand,pillow,15,20,0.75
XHand官方最终方法,selected,xhand,remote,13,20,0.65
XHand官方最终方法,selected,xhand,rubikscube,7,20,0.35
XHand官方最终方法,selected,xhand,ship,14,20,0.7
XHand官方最终方法,selected,xhand,showerhead,11,20,0.55
XHand官方最终方法,selected,xhand,snowman,10,20,0.5
XHand官方最终方法,selected,xhand,soapbar,14,20,0.7
XHand官方最终方法,selected,xhand,soapbottle,10,20,0.5
XHand官方最终方法,selected,xhand,stapler,12,20,0.6
XHand官方最终方法,selected,xhand,tapedispenser,13,20,0.65
XHand官方最终方法,selected,xhand,thumbtack,12,20,0.6
XHand官方最终方法,selected,xhand,tissuebox,15,20,0.75
XHand官方最终方法,selected,xhand,toaster,12,20,0.6
XHand官方最终方法,selected,xhand,toasteroven,17,20,0.85
XHand官方最终方法,selected,xhand,usbstick,11,20,0.55
XHand官方最终方法,selected,xhand,vase,13,20,0.65
XHand官方最终方法,selected,xhand,videogamecontroller,1,20,0.05
XHand官方最终方法,selected,xhand,wallclock,6,20,0.3
XHand官方最终方法,selected,xhand,watch,12,20,0.6
XHand官方最终方法,selected,xhand,wii,19,20,0.95
XHand官方最终方法,selected,xhand,winebottle,13,20,0.65
XHand指腹细化负消融,rejected_ablation,xhand,ball,2,20,0.1
XHand指腹细化负消融,rejected_ablation,xhand,battery,7,20,0.35
XHand指腹细化负消融,rejected_ablation,xhand,beanbag,6,20,0.3
XHand指腹细化负消融,rejected_ablation,xhand,blender,12,20,0.6
XHand指腹细化负消融,rejected_ablation,xhand,book,7,20,0.35
XHand指腹细化负消融,rejected_ablation,xhand,bowl,10,20,0.5
XHand指腹细化负消融,rejected_ablation,xhand,camera,14,20,0.7
XHand指腹细化负消融,rejected_ablation,xhand,can,8,20,0.4
XHand指腹细化负消融,rejected_ablation,xhand,canister,17,20,0.85
XHand指腹细化负消融,rejected_ablation,xhand,cap,0,20,0.0
XHand指腹细化负消融,rejected_ablation,xhand,cerealbox,17,20,0.85
XHand指腹细化负消融,rejected_ablation,xhand,clock,15,20,0.75
XHand指腹细化负消融,rejected_ablation,xhand,cookie,9,20,0.45
XHand指腹细化负消融,rejected_ablation,xhand,disccase,17,20,0.85
XHand指腹细化负消融,rejected_ablation,xhand,dog,17,20,0.85
XHand指腹细化负消融,rejected_ablation,xhand,filecabinet,12,20,0.6
XHand指腹细化负消融,rejected_ablation,xhand,flashlight,16,20,0.8
XHand指腹细化负消融,rejected_ablation,xhand,fruit,10,20,0.5
XHand指腹细化负消融,rejected_ablation,xhand,headphones,8,20,0.4
XHand指腹细化负消融,rejected_ablation,xhand,horse,13,20,0.65
XHand指腹细化负消融,rejected_ablation,xhand,ipad,10,20,0.5
XHand指腹细化负消融,rejected_ablation,xhand,knife,5,20,0.25
XHand指腹细化负消融,rejected_ablation,xhand,milkcarton,14,20,0.7
XHand指腹细化负消融,rejected_ablation,xhand,palette,10,20,0.5
XHand指腹细化负消融,rejected_ablation,xhand,pan,4,20,0.2
XHand指腹细化负消融,rejected_ablation,xhand,pencil,11,20,0.55
XHand指腹细化负消融,rejected_ablation,xhand,personstanding,7,20,0.35
XHand指腹细化负消融,rejected_ablation,xhand,phonebooth,14,20,0.7
XHand指腹细化负消融,rejected_ablation,xhand,piano,14,20,0.7
XHand指腹细化负消融,rejected_ablation,xhand,pillow,11,20,0.55
XHand指腹细化负消融,rejected_ablation,xhand,remote,15,20,0.75
XHand指腹细化负消融,rejected_ablation,xhand,rubikscube,7,20,0.35
XHand指腹细化负消融,rejected_ablation,xhand,ship,14,20,0.7
XHand指腹细化负消融,rejected_ablation,xhand,showerhead,9,20,0.45
XHand指腹细化负消融,rejected_ablation,xhand,snowman,11,20,0.55
XHand指腹细化负消融,rejected_ablation,xhand,soapbar,7,20,0.35
XHand指腹细化负消融,rejected_ablation,xhand,soapbottle,8,20,0.4
XHand指腹细化负消融,rejected_ablation,xhand,stapler,12,20,0.6
XHand指腹细化负消融,rejected_ablation,xhand,tapedispenser,13,20,0.65
XHand指腹细化负消融,rejected_ablation,xhand,thumbtack,12,20,0.6
XHand指腹细化负消融,rejected_ablation,xhand,tissuebox,15,20,0.75
XHand指腹细化负消融,rejected_ablation,xhand,toaster,13,20,0.65
XHand指腹细化负消融,rejected_ablation,xhand,toasteroven,13,20,0.65
XHand指腹细化负消融,rejected_ablation,xhand,usbstick,13,20,0.65
XHand指腹细化负消融,rejected_ablation,xhand,vase,12,20,0.6
XHand指腹细化负消融,rejected_ablation,xhand,videogamecontroller,0,20,0.0
XHand指腹细化负消融,rejected_ablation,xhand,wallclock,7,20,0.35
XHand指腹细化负消融,rejected_ablation,xhand,watch,11,20,0.55
XHand指腹细化负消融,rejected_ablation,xhand,wii,18,20,0.9
XHand指腹细化负消融,rejected_ablation,xhand,winebottle,14,20,0.7
