epoch,optimizer_step,train_loss,validation_loss
1,1287,0.015581512823700905,0.031922176480293274
2,2575,0.015035904943943024,0.03205004706978798
3,3863,0.014574977569282055,0.031918514519929886
4,5151,0.014263748191297054,0.0319184735417366
