epoch,train_loss,valid_loss
1,1.021031524005689,0.8235031962394714
2,0.8318082815722415,0.7742764949798584
3,0.7297340506001523,0.7605986595153809
4,0.6533867152113664,0.7605108022689819
5,0.5931544711715296,0.750604510307312
6,0.5455660678838429,0.7577454447746277
7,0.5059448229639154,0.7598707675933838
8,0.471916023053621,0.7439149618148804
9,0.43925277496639054,0.7409195899963379
10,0.41219840551677506,0.7366875410079956
11,0.38930977175110265,0.7334199547767639
12,0.36516505950375605,0.7321330308914185
13,0.34683820448423686,0.7367346882820129
14,0.32757023290583964,0.7414594888687134
15,0.3116819984034488,0.7541599273681641
16,0.2964943474844882,0.7538623809814453
17,0.2814030349254608,0.7499604821205139
18,0.26769135500255387,0.7505366802215576
19,0.2556770177263963,0.7513236403465271
20,0.24129491338604375,0.7509371042251587
21,0.2313943913108424,0.7480452656745911
22,0.21876451765236102,0.7573232054710388
23,0.21216131668341787,0.7493096590042114
24,0.20151033213264063,0.747757077217102
25,0.19207749319703957,0.7589882612228394
26,0.18285630564940603,0.754565417766571
27,0.1748145630485133,0.7606374621391296
28,0.16837919307382485,0.7484492659568787
29,0.15990188168851951,0.7529513239860535
30,0.15295560265842237,0.758163571357727
31,0.14873443465483815,0.738027811050415
32,0.14302776126485123,0.7452828288078308
33,0.13664545824653224,0.7483958005905151
34,0.13175957453878304,0.7468602061271667
35,0.12771192036176982,0.7533226013183594
36,0.12453087929048036,0.7593650817871094
37,0.1194987814677389,0.757066011428833
38,0.11593543149923023,0.7529979348182678
39,0.11183509858031022,0.7679271101951599
40,0.108722391489305,0.768171489238739
41,0.10645149608975962,0.7689142227172852
42,0.10223136567755749,0.7712265253067017
43,0.0991297003469969,0.7814859747886658
44,0.09806084789727863,0.7732570171356201
45,0.09600894388399626,0.7829974889755249
46,0.09301565901229256,0.7727157473564148
47,0.0910832972118729,0.7679783701896667
