epoch,train_loss,valid_loss
1,1.0780327261539928,0.9005907773971558
2,0.9451200713191116,0.8568035960197449
3,0.8762943380757382,0.8186472654342651
4,0.8217646697111297,0.7893915176391602
5,0.7774590575904177,0.770736038684845
6,0.732720492806351,0.7526103854179382
7,0.6956463991549977,0.7371982932090759
8,0.6620716552985342,0.7224916219711304
9,0.6291076823284751,0.7084577679634094
10,0.5992660840352376,0.6987494230270386
11,0.5736574612165752,0.6881059408187866
12,0.5474589494236729,0.6842138767242432
13,0.5235273189711989,0.672322154045105
14,0.5012012667823256,0.6699085831642151
15,0.48132969266489933,0.6653037071228027
16,0.4609386942888561,0.6623998284339905
17,0.44357447080444873,0.6662530899047852
18,0.42565623751857823,0.6635552048683167
19,0.4129168507299925,0.6590141654014587
20,0.3941122411635884,0.6546661853790283
21,0.37998618096636055,0.6588754653930664
22,0.3660909640161615,0.6575811505317688
23,0.35171353492820473,0.6584571599960327
24,0.33821398438068856,0.6560149192810059
25,0.3255921200702065,0.6502460241317749
26,0.3120897628759083,0.6517545580863953
27,0.3009407725250512,0.6566523313522339
28,0.2876721982370343,0.6529788970947266
29,0.2799032223852057,0.6545200943946838
30,0.2694364136771152,0.6579921841621399
31,0.2591621771193387,0.6598435640335083
32,0.25192592154469406,0.6622674465179443
33,0.2419427599300418,0.6639036536216736
34,0.23265203676725688,0.6579347848892212
35,0.22707642431844743,0.6704989671707153
36,0.21754784202366545,0.6590969562530518
37,0.2116092392227106,0.6684916615486145
38,0.20523813764254253,0.6660277247428894
39,0.20375381682002752,0.6571870446205139
40,0.19123627146085104,0.6634894609451294
41,0.18518653475401695,0.6549754738807678
42,0.17811499713805684,0.6731254458427429
43,0.1690532415059575,0.6582488417625427
44,0.16479118435006393,0.6736022233963013
45,0.1608798960321828,0.6752967834472656
46,0.1526813404601917,0.6687330007553101
47,0.1479286724015286,0.6736438870429993
48,0.14362286365868754,0.6809476017951965
49,0.1404960861854386,0.6746518611907959
50,0.1358836422363917,0.6844106912612915
51,0.13178240724822932,0.6772336363792419
52,0.12673471407932146,0.7004570364952087
53,0.12292320827643076,0.6827197670936584
54,0.11749468045799356,0.6952365636825562
55,0.1136819182780751,0.6932199597358704
56,0.1110425348606026,0.688133180141449
57,0.10703242881256238,0.6880611777305603
58,0.10189339484561953,0.699176549911499
59,0.09991002888010259,0.6861035823822021
60,0.09670115492322989,0.7105266451835632
