epoch,train_loss,valid_loss
1,1.0443219395651333,0.9735428094863892
2,0.8925138357756794,0.9129649996757507
3,0.8206338934276415,0.873894214630127
4,0.7617285700811856,0.8521638512611389
5,0.7129637676736583,0.8269811868667603
6,0.6730931513551353,0.8100190162658691
7,0.6376645279967267,0.8005062937736511
8,0.6040160517761672,0.7946653962135315
9,0.5785441510919211,0.7906934022903442
10,0.5504973245703656,0.7879898548126221
11,0.5274513838947683,0.7736997008323669
12,0.5052903493245443,0.7673945426940918
13,0.484001809704131,0.7611559629440308
14,0.46027538569077203,0.7639725208282471
15,0.44653908498045325,0.7516424655914307
16,0.4256320997424748,0.7465109825134277
17,0.4077602262082307,0.7502434849739075
18,0.3929652718530185,0.742775559425354
19,0.3776406887648762,0.7410188317298889
20,0.36003397340359894,0.73563152551651
21,0.34555766850277997,0.732446014881134
22,0.33465176561604376,0.7381753921508789
23,0.31895043323005456,0.731437087059021
24,0.3075245713842088,0.7273567318916321
25,0.29342740212661633,0.726946234703064
26,0.28036934050960816,0.7273393869400024
27,0.26955344020456506,0.728439450263977
28,0.2596142015595367,0.7259921431541443
29,0.2470112006733383,0.7245142459869385
30,0.23914065913877625,0.7309634685516357
31,0.22869899696198062,0.7327271699905396
32,0.21856743054113525,0.7390831708908081
33,0.2094247786031253,0.7346585392951965
34,0.20334812070148578,0.7300608158111572
35,0.19323636461859164,0.7335799336433411
36,0.18563728207263394,0.7454795837402344
37,0.17860099694867065,0.7397423386573792
38,0.1701139760190162,0.7404277324676514
39,0.16443479082722595,0.7380037307739258
40,0.15703848479450613,0.7415032386779785
41,0.15131184609903806,0.7462952733039856
42,0.14485215449678726,0.7437339425086975
43,0.1383792287197666,0.7425708174705505
44,0.13330758805724158,0.7480958700180054
45,0.12874263373837955,0.7517910599708557
46,0.1236029568573703,0.7562398314476013
47,0.1182580833201823,0.7410902976989746
48,0.11336953354918439,0.7635231614112854
49,0.10929384989582974,0.7377387285232544
50,0.10637418450652689,0.773097813129425
51,0.10263494402170181,0.7455596327781677
52,0.09714860296335773,0.7703937292098999
53,0.09504834033440852,0.7545164227485657
54,0.0913588760987572,0.7738185524940491
55,0.09005510731451753,0.7674404382705688
56,0.08805619849674944,0.7735233902931213
57,0.08455130274313083,0.7660477161407471
58,0.0806979918177577,0.7733210325241089
59,0.07638002402972484,0.7692644596099854
60,0.07343151679505473,0.7788881063461304
61,0.0716787879017816,0.7709478735923767
62,0.0691576245362344,0.7738637328147888
63,0.06882601674052252,0.7758014798164368
64,0.06519860741884811,0.7685551047325134
